City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,edinburgh of the seven seas,-37.0676,-12.3116,15.93,88,90,15.38,SH,2024-11-11 02:59:28
242,matoury,4.8483,-52.3317,24.98,100,75,1.03,GF,2024-11-11 03:00:15
243,adamstown,-25.066,-130.1015,21.77,76,100,3.8,PN,2024-11-11 02:55:49
244,sitka,57.0531,-135.33,8.94,57,40,7.72,US,2024-11-11 02:55:48
245,norfolk,42.1668,-71.2495,12.86,71,100,0.89,US,2024-11-11 03:00:18
246,caleta de carquin,-11.0925,-77.6267,18.83,84,85,3.88,PE,2024-11-11 03:00:19
247,baden,47.9974,16.233,3.14,92,0,0.59,AT,2024-11-11 03:00:20
248,ajaccio,42.0,8.9167,12.61,87,0,4.12,FR,2024-11-11 03:00:22
249,punta arenas,-53.15,-70.9167,6.06,65,20,3.09,CL,2024-11-11 03:00:23
250,manokwari,-0.8667,134.0833,27.84,76,82,2.4,ID,2024-11-11 03:00:24
251,port-aux-francais,-49.35,70.2167,4.93,86,95,9.48,TF,2024-11-11 02:59:31
252,port-aux-francais,-49.35,70.2167,4.93,86,95,9.48,TF,2024-11-11 02:59:31
253,ushuaia,-54.8,-68.3,5.81,75,75,9.26,AR,2024-11-11 03:00:27
254,aoulef,26.9667,1.0833,21.29,36,100,5.09,DZ,2024-11-11 03:00:28
255,portland,45.5234,-122.6762,11.96,90,100,4.12,US,2024-11-11 02:53:01
256,georgetown,5.4112,100.3354,30.96,74,20,1.54,MY,2024-11-11 02:54:09
257,yellowknife,62.456,-114.3525,-12.71,85,75,2.06,CA,2024-11-11 02:55:57
258,adamstown,-25.066,-130.1015,21.77,76,100,3.8,PN,2024-11-11 02:55:49
259,askino,56.0901,56.5783,-5.8,95,86,4.77,RU,2024-11-11 03:00:34
260,wuustwezel,51.3919,4.5939,9.98,95,100,3.6,BE,2024-11-11 03:00:35
261,port-aux-francais,-49.35,70.2167,4.93,86,95,9.48,TF,2024-11-11 02:59:31
262,boyolangu,-8.1181,111.8935,30.47,64,93,3.84,ID,2024-11-11 03:00:38
263,haiku-pauwela,20.9219,-156.3051,25.14,73,8,9.83,US,2024-11-11 03:00:39
264,le puy-en-velay,45.0437,3.8852,8.41,91,93,3.23,FR,2024-11-11 03:00:41
265,adamstown,-25.066,-130.1015,21.77,76,100,3.8,PN,2024-11-11 02:55:49
266,puerto natales,-51.7236,-72.4875,4.47,94,92,2.59,CL,2024-11-11 03:00:43
267,igarka,67.4667,86.5833,-14.55,91,99,4.22,RU,2024-11-11 03:00:45
268,ribeira grande,38.5167,-28.7,20.99,88,85,10.28,PT,2024-11-11 03:00:46
269,grytviken,-54.2811,-36.5092,-1.17,88,100,1.39,GS,2024-11-11 02:57:20
270,ta`u,-14.2336,-169.5144,27.08,83,88,6.97,AS,2024-11-11 03:00:48
271,adamstown,-25.066,-130.1015,21.77,76,100,3.8,PN,2024-11-11 02:55:49
272,oruro,-17.9833,-67.15,12.77,50,26,2.97,BO,2024-11-11 03:00:51
273,bereeda,11.8704,51.0579,25.66,80,54,3.87,SO,2024-11-11 03:00:52
274,grytviken,-54.2811,-36.5092,-1.17,88,100,1.39,GS,2024-11-11 02:57:20
275,punta arenas,-53.15,-70.9167,6.06,65,20,3.09,CL,2024-11-11 03:00:23
276,crane,31.3974,-102.3501,16.06,22,2,1.45,US,2024-11-11 03:00:56
277,albany,42.6001,-73.9662,7.02,75,100,0.45,US,2024-11-11 02:56:39
278,bredasdorp,-34.5322,20.0403,13.6,88,43,1.83,ZA,2024-11-11 03:00:58
279,yellowknife,62.456,-114.3525,-12.71,85,75,2.06,CA,2024-11-11 02:55:57
280,edinburgh of the seven seas,-37.0676,-12.3116,15.93,88,90,15.38,SH,2024-11-11 02:59:28
281,port-aux-francais,-49.35,70.2167,4.93,86,95,9.48,TF,2024-11-11 02:59:31
282,puerto natales,-51.7236,-72.4875,4.47,94,92,2.59,CL,2024-11-11 03:00:43
283,talnakh,69.4865,88.3972,-24.36,88,49,0.78,RU,2024-11-11 03:01:04
284,egilsstadir,65.2653,-14.3948,5.95,65,40,6.17,IS,2024-11-11 03:01:05
285,edinburgh of the seven seas,-37.0676,-12.3116,15.93,88,90,15.38,SH,2024-11-11 02:59:28
286,blackmans bay,-43.0167,147.3167,18.62,54,5,1.34,AU,2024-11-11 02:58:50
287,longyearbyen,78.2186,15.6401,-1.09,93,100,1.54,SJ,2024-11-11 02:58:53
288,yeppoon,-23.1333,150.7333,26.44,66,94,5.26,AU,2024-11-11 03:01:10
289,olonkinbyen,70.9221,-8.7187,0.95,95,100,8.23,SJ,2024-11-11 03:01:11
290,puerto ayora,-0.7393,-90.3518,21.97,87,88,1.79,EC,2024-11-11 03:01:12
291,beyneu,45.3167,55.2,3.75,90,7,2.24,KZ,2024-11-11 03:01:13
292,xining,36.6167,101.7667,5.2,58,98,2.03,CN,2024-11-11 03:00:12
293,port-aux-francais,-49.35,70.2167,4.93,86,95,9.48,TF,2024-11-11 02:59:31
294,penzance,50.1186,-5.5371,13.38,88,100,0.63,GB,2024-11-11 03:01:16
295,bilibino,68.0546,166.4372,-22.71,100,98,1.03,RU,2024-11-11 03:00:07
296,enewetak,11.3474,162.3373,28.06,80,54,8.66,MH,2024-11-11 03:01:18
